Caste,subcastes,source
CHIKWA,"['QASSAI', 'CHIKWA', 'KASAI', 'CHIKWA QASSAB', 'QURAISHI', 'CHAK', 'CHIKVI', 'KASSAB']",gov
DANGASHIA,['DANGASHIA'],gov
DEKKANI MUSLIM,['DEKKANI MUSLIM'],gov
DHIMAR,"['KAMDAY', 'GAUTAM', 'KHEWAT', 'KEWAT', 'VRITIYA SONDHIYA', 'TUREHA', 'MALLAH', 'KIR BRITIYA', 'TARAIL', 'KAMARE', 'SONDHIYA', 'BHISTI', 'MACHHANDAR', 'KASHYAP', 'SAKKA', 'DHIMER BHOI', 'BHATIYAR', 'NISHAD', 'TURAHA', 'DOGARWAR', 'YADAV', 'DHIMAR', 'SHEIKH-ABBASI', 'MORDE', 'NAVDA', 'MEHRA', 'VRITIYA', 'JHIMAR', 'NAWDA', 'DHINWAR', 'DHIMER', 'KAHRA', 'NAVDA TURAHA KEWAT KIR BRITIYA', 'KASYE RAJPUTS', 'MESHRAM', 'RAJPUT', 'KAHAR', 'KASHYAP-RAJPOOT', 'BHOI', 'TURSIB', 'KAHRA DHIWAR MALLAH NAWDA', 'JHINWAR', 'DHIWAR']",mf
FAKIR,"['FAKIR BHANDARWALA', 'SHAM', 'ALVI', 'MIYAN', 'SHAH', 'KHAN', 'SAIN', 'FAKIR', 'FAKIR INCLUDING ALVI-FAKIR', 'MANIHAR', 'FAQUIR', 'FAQIR', 'FAKEER', 'SHEIKH']",mf
GAWLI,"['MUSLIM GAWLI', 'GAWLI']",gov
GHUMAIR,"['KHAN', 'GHUMAIR']",mf
GOLA,"['GOLLA', 'GOUDIA GOLA', 'LAXMINARAYAN GOLA', 'MATHURAPURIA GOUDA', 'MEKALA GOLLA', 'PUNNU GOLLA', 'GOLA RANA', 'GOUDA', 'GOP', 'YADAV', 'SHOLAKHANDIA', 'AHIR', 'GOPALA', 'GOPAL', 'GOUR', 'GOUDO', 'MAGHADA GOUDA', 'GOLA', 'SADGOP', 'GOPE', 'NANDA GOUDA & KANJA GOUDA', 'DUMAL GOUDA', 'GOPAPURIA GOUDA', 'SADGOPE']",gov
GORI,"['GORI', 'KHAN']",mf
GUJJAR,"['GOHIL', 'PATEL', 'GUJARA', 'MAHESHWARI', 'KASANA', 'GUJJAR', 'GURJAR', 'NAGAR', 'BAKARWAL', 'GUJAR', 'KHAN', 'GUZAR', 'DHAMA', 'BANSAL', 'PARMAR', 'DRAWAT', 'GOOJAR', 'GUJJAR(MUSLIM)', 'JADAV']",mf_jeevansathi
