Caste,Subcastes,source
ADIWASI (Hindu),"['BHENIL', 'GOND', 'DHIMAR', 'BINJHWAR', 'KANWAR', 'BHILALA', 'SIDAR', 'BHEND', 'HANDSA', 'HEMRAM', 'BHENA', 'NAGARCHI', 'DHANWAR', 'GOARI', 'MARANDI', 'ADIWASI', 'SARTHI']",mf
AHIR (Hindu),"['BARGAH', 'THETHWAR', 'AYAR', 'LALHARIA', 'GAWALI', 'RAO', 'TURI', 'BRAJWASI', 'TELI', 'RAWAT', 'BAGDE', 'SHAH', 'LINGAYAT-GAOLI', 'RAUT', 'GURJAR', 'BERICHA', 'GOP', 'GWARA JADAV', 'GAWARI', 'SONWANI', 'BHARVAD', 'YADAV', 'KUMAWAT', 'AHIR', 'KHANNA', 'ASKE', 'WANJARE', 'NAGARCHI', 'GOPAL', 'SISODIA', 'NARNAVRE', 'GOWRA', 'GOLI', 'RATHORE', 'SAHU', 'BARGAHI', 'JAMRE', 'GWARA', 'JADAV', 'RAI', 'SORATHA', 'GAWLI', 'GWALA', 'RAUT THETHWAR', 'PALIWAL', 'GOWARI']",mf_jeevansathi
ANSARI (Hindu),['ANSARI'],mf
BADHAI (Hindu),"['BADHRIA', 'KHARADI', 'KHATI', 'DHEEMAN', 'MAGHIYA', 'BADAI', 'BADHAI', 'KHARADA', 'VISHWAKARMA', 'HARIJAN', 'TARKHAN', 'JANGRA-BRAHMIN', 'NISHAD', 'PANWARI', 'RAMGARHIA-SIKH', 'PANCHAL', 'SUTHAR', 'RAMGARHIA', 'CHOURSIA', 'BADHIRA', 'MISTRY', 'SHARMA', 'JANGADA', 'VISWAKARMA', 'TARKHAN.', 'BADHEI', 'BINDHANIA', 'CHAURASIA', 'BARHAI', 'JANGID', 'SUTRADHAR']",mf_jeevansathi
BANIYA (Hindu),"['ASRATI', 'SINGLA', 'KANSAL', 'ORIYABANIYA', 'TUREHA', 'BANIYA', 'VARSHNEY', 'ORIYAMUNDA', 'SHAH', 'ARORA', 'CHOUDHARY', 'GUPTA', 'AGARAWAL', 'BARNAWAL', 'SINGHAL', 'YADAV', 'KHANDEL', 'GARG', 'JAISWAL', 'AGARWAL', 'KESARBANI', 'MODI', 'SUNARI', 'KESRI', 'MISTRY', 'GOYAL', 'KESHRWANI', 'SHARMA', 'BANSAL', 'SHAHU', 'SAHU', 'JINDAL', 'PADAIYACHI', 'RANA', 'AYODHABASI', 'JAIN', 'POWAR', 'GOEL', 'BANNIYAR', 'PALIWAL', 'MAHAJAN']",mf
BANJARA (Hindu),"['SUGALI.', 'DHALIA', 'LAMAN BANJARA', 'DHURIYA', 'RANKI', 'MATHURA', 'MUKERI', 'LAMANI', 'DHALIA BANJARA', 'LABHANA', 'LAMBADE LAMBHANI CHARAN BANJARA LABHAN MATHURA LABHANI', 'BAMANIA BANJARA', 'SUKALI', 'RAVANA', 'LAMBARA', 'BALADIA', 'BANJARI', 'BANJARI GOAR BANJARA LAMBADA', 'MAKRANI.', 'GORMATI', 'MATHURA LABHAN', 'MATHURA BANJARA KACHIKIWALE BANJARA LAMAN BANJARA LAMAN', 'GAMETIA', 'LABHANA LABAN', 'NAVI BANJARA', 'NAYKADA', 'LAMNE', 'LAMAN', 'LAMBANI', 'RATHOR', 'LAMANI LABAN DHALI', 'LABANA', 'SUGALI', 'BANJARA', 'KUMAWAT', 'DHADI', 'LAMBADA', 'LAMBADI', 'LABAN', 'BANJARI MATHURA', 'LAMBARA LAMBHANI', 'RANKIA', 'MANSURI', 'JOGI BANJARA', 'LAMBANA', 'CHANDWAR', 'KACHIRIWALA BANJARA', 'VAISHNAV', 'BAMANIA BANJARA LAMAN', 'NAYKADA LAMBANA', 'MATHURA BANJARI', 'NAYAK', 'CHADAWA', 'DHARI SINGARI NAVI BANJARA']",mf_shadi_jeevansathi
BELDAR (Hindu),"['BHATI', 'SUNKAR', 'OD', 'TAWAR', 'BELDAR']",mf_jeevansathi
BHANGI (Hindu),"['BHANGI', 'LALBEGI', 'BALMIK', 'BARWASIA', 'RUKHI', 'RUSHI', 'ZADMALLI', 'ZAMPDA', 'BAKSHI PANCH', 'UPADHAYAY', 'JAMPHODA', 'OLGANA', 'BARWASHIA', 'CHURA', 'VALMIKI', 'BALMIKI', 'DHARKAR', 'KORAR', 'HELA', 'ZAMPADA']",mf
BHILALA (Hindu),"['SETIA', 'NARGESH', 'BAKAULEY', 'SHAITE', 'BAGHEL', 'JHHILA', 'MORI', 'GWALE', 'BHEL', 'WAGE', 'RAWAT', 'DODWAL', 'VARMAN', 'ROMDADE', 'SOLANKI', 'SONAR', 'DAMAR', 'BHURIYA', 'RATHOR', 'WASKALE', 'GANGWAL', 'BALKEY', 'SAITEY', 'MALVIA', 'YADAV', 'BHILALA', 'AKOLIYA', 'AWASE', 'KHANNA', 'BHAGE', 'CHAUHAN', 'ASKE', 'JILVE', 'DHILE', 'KHARTE', 'MUDALJE', 'NIHAL', 'KHATIYA', 'NINGWAL', 'JAMRE', 'KOLH', 'TADWLA', 'MANKOLI', 'DWAR', 'GORE', 'BADDLE', 'NARGAVE', 'KUSHWAHA', 'BHILA LA', 'BHEW', 'MANDOLI', 'DORWAR', 'DARBAR', 'KANASHE', 'CHONGAR', 'MOZALDA']",mf
BRAHMAN (Hindu),"['SAMANTA', 'TRIVEDI', 'PRAJAPATI', 'HAVASALA', 'BRHAMIN', 'PUROHIT', 'PACHORI', 'CHATURVEDI', 'SOLANKI', 'DEVILA', 'OTHERS', 'SHUKLA', 'BHARADWAJ', 'DEWEDI', 'VAIDHIKA', 'DADHICH', 'PAREEK', 'VISHVA S', 'MAHA-BRAHMAN', 'DUBEY', 'HAVJAK', 'AUDICH', 'IYYAR', 'VAIDIK', 'DANUA', 'RAJGOR', 'SIDHANTHI', 'IYANGAR', 'HAUYAK', 'SAMRATH', 'AYYANGAR', 'MOHABRAHMAN', 'VAISHNAV', 'VASSIST', 'NAYAK', 'PALIWAL', 'BRAHAMIN', 'GAUTAM', 'RAJPUROHIT', 'KHATI', 'GOSWAMI', 'UPADHYAY', 'MAHANT', 'BHATT', 'BESNAB', 'SANYAL', 'DIXIT', 'BHARGAV', 'OJHA', 'AYAN', 'RAMPAL', 'BRAHIMAN', 'TRIPATHI', 'GOGNA', 'BAJPAI', 'BALABHADRA', 'CHASA', 'DESHASTHA', 'SASANI', 'ACHARYA', 'BAIRAGI', 'THAKUR', 'PARDESI', 'SONI', 'DEVEDI', 'TYAGI', 'UPADHAYA', 'GIRI', 'ATRI', 'HAVYAKA', 'JOSHI', 'PUJARI', 'IYER', 'BAKSHI PANCH', 'PANDEY', 'GOSAWMI', 'VAISHNA V', 'BANJARA', 'KAUSHIK', 'RAMGARHIA', 'BHATTAMISHRA', 'KAIBARTA', 'SANDILYA', 'KRUSHMAPAKSHI', 'VYAS', 'TAPODHAN', 'BRHAMAN', 'TURKHAN', 'GANDHARU', 'DWIVEDI', 'JHANGRA BRAHMAN', 'ADHIT', 'RAI', 'RARHI', 'DAKHINORIYA', 'AJER', 'SARASWATI', 'GAUR', 'MISHRA', 'BRAHMAN', 'BAISNAB', 'SHRMA', 'BARENDRA', 'SARASWAT', 'MUDGIL', 'UPADHAYAY', 'KOTTA', 'BRAHAMAN', 'PATHAK', 'AGNIHOTRI', 'PORASA', 'KUTCHHI', 'CHAUBEY', 'VASUDEV', 'SWAMI', 'DHIMAN', 'AADISAIVER', 'SHARMA', 'BAJPAYEE', 'JADURBADE', 'BRAHMIN', 'LOHAR', 'TIWARI', 'VAID', 'AWASHTHI', 'BHARATI', 'MAHAJAN']",mf
CHIKWA (Hindu),"['CHIKWA', 'KASAI', 'CHAK', 'CHIKVI', 'KASSAB']",gov
DANGASHIA (Hindu),['DANGASHIA'],gov
DHIMAR (Hindu),"['KAMDAY', 'GAUTAM', 'KHEWAT', 'KEWAT', 'VRITIYA SONDHIYA', 'TUREHA', 'MALLAH', 'KIR BRITIYA', 'TARAIL', 'KAMARE', 'SONDHIYA', 'MACHHANDAR', 'KASHYAP', 'SAKKA', 'DHIMER BHOI', 'NISHAD', 'TURAHA', 'YADAV', 'DHIMAR', 'MORDE', 'NAVDA', 'MEHRA', 'VRITIYA', 'JHIMAR', 'NAWDA', 'DHINWAR', 'DHIMER', 'KAHRA', 'NAVDA TURAHA KEWAT KIR BRITIYA', 'KASYE RAJPUTS', 'MESHRAM', 'RAJPUT', 'KAHAR', 'KASHYAP-RAJPOOT', 'BHOI', 'TURSIB', 'KAHRA DHIWAR MALLAH NAWDA', 'JHINWAR', 'DHIWAR']",mf
FAKIR (Hindu),"['SHAM', 'SHAH', 'FAQUIR']",mf
GAWLI (Hindu),['GAWLI'],gov
GHUMAIR (Hindu),['GHUMAIR'],mf
GOLA (Hindu),"['GOLLA', 'GOUDIA GOLA', 'LAXMINARAYAN GOLA', 'MATHURAPURIA GOUDA', 'MEKALA GOLLA', 'PUNNU GOLLA', 'GOLA RANA', 'GOUDA', 'GOP', 'YADAV', 'SHOLAKHANDIA', 'AHIR', 'GOPALA', 'GOPAL', 'GOUR', 'GOUDO', 'MAGHADA GOUDA', 'GOLA', 'SADGOP', 'GOPE', 'NANDA GOUDA & KANJA GOUDA', 'DUMAL GOUDA', 'GOPAPURIA GOUDA', 'SADGOPE']",gov
GORI (Hindu),['GORI'],mf
GUJJAR (Hindu),"['GOHIL', 'PATEL', 'GUJARA', 'MAHESHWARI', 'KASANA', 'GUJJAR', 'GURJAR', 'NAGAR', 'BAKARWAL', 'DHAMA', 'BANSAL', 'PARMAR', 'DRAWAT', 'GOOJAR', 'JADAV']",mf_jeevansathi
JAT (Hindu),"['MAUN', 'LUNJ', 'HER', 'PRAJAPATI', 'PAYAL', 'GREWAL', 'DHANKAR', 'KANG', 'SIWATCH', 'SHEORAN', 'KHAYALI', 'KOKKAR', 'JAT SIKH', 'KALERI', 'SAMRA', 'MEHRA', 'HANS', 'DHAKA', 'JAKHAR', 'BHAMBHO', 'GILL', 'MEEL', 'TEWATIYA', 'THIR', 'SIROHI', 'KSHLIYA', 'BHATTI', 'KHATI', 'SINGLA', 'BIRIKHI', 'MAAN', 'JADGE', 'SOHAL', 'MAHANT', 'KAITH', 'GUBANDA', 'MOD', 'CHAHAL', 'BHANGU', 'CHAUHAN', 'GHUMAN', 'SAHRAWAT', 'KEOL', 'RANDHAWA', 'BHINDER', 'CHAUDHARI', 'RATHORE', 'PAWAR', 'MADAN', 'SARAN', 'JAKAHD', 'DEOL', 'CHEL', 'KHACERI', 'PANNU', 'BADHAI', 'GODRA', 'CHOPRA', 'JATSIKH', 'LOHAN', 'MANN', 'PUNIYA', 'SIHAG', 'SAMARAN', 'KUNDU', 'NAIN', 'SHEDKAND', 'THALODI', 'BENIWAL', 'BHAL', 'JUDGE', 'CHATRAWAL', 'MORWAL', 'RAI', 'PANGHAL', 'FAGADANA', 'TATLA', 'LALLI', 'BHULLAR', 'NIJJAR', 'JAT', 'JHIWAR', 'SANDHU', 'MITHA', 'CHOUDHARY', 'MANDAL', 'MAUR', 'SIDHU', 'CHIMMA', 'SHARMA', 'CHICHAR', 'PAKGI', 'BARAI', 'BASSI']",mf_shadi_jeevansathi
JHANGRA BRAHMAN (Hindu),"['JANGID BRAHMAN', 'TARKHAN', 'JHANGRA-BRAHMAN', 'BADDI', 'KHATI', 'SUTHAR', 'RAMGARHIA', 'JHANGARA-BRAHMAN', 'JANGRA BRAHMAN', 'BARHAI', 'JHANGRA BRAHMAN', 'JANGRA-BRAHMAN', 'DHIMAN']",gov
JULAHA (Hindu),"['KEER', 'KABIRPATH', 'TARIYA', 'ANSARI', 'KABIRAM', 'TARI', 'KABIRPANTHI', 'GARANA', 'JULLAHA', 'KOLI']",mf_jeevansathi
KANJARA – BHATTA (Hindu),"['KANJIRBHAT', 'KANJARA – BHATTA', 'KHANJARBHAT', 'KANJARA-BHATTA', 'KANJIRBHAAT']",gov
KANSARI (Hindu),['KANSARI'],jeevansathi
KASAI (Hindu),"['KASAI', 'ARI KATIKELU', 'KATUKA KATUGA', 'MARATTI', 'SURYAVAMSHA KSHATRIYA', 'KASSAB', 'KALAL KHATIK', 'KISBI', 'KHATIK', 'KATIK', 'ARAY']",gov
KHANDAYAT (Hindu),"['CHASA', 'ORIYAMUNDA', 'MUNDA', 'ODUKHANDAYAT', 'MAGHIYA', 'SRESTAKHANDAYAT', 'MAHANAIK', 'KANDARA', 'KHANDAYAT']",mf_jeevansathi
KHANDELWAL (Hindu),['KHANDELWAL'],mf_shadi
KHANDNALS (Hindu),['KHANDNALS'],gov
