Caste,Subcastes,source
RAJPUT (Hindu),"['BHARMORIA', 'BHADAURIYA', 'SAKALANI', 'BARWA', 'PRAJAPATI', 'RAO', 'MINYA', 'GAHLOT', 'SOLANKI', 'SARANG', 'TOMAR', 'KASHYAP', 'OTHERS', 'RAKWAR', 'JHALA', 'MANDHOTRA', 'BHALAIYA', 'NADODA', 'SISODIYA', 'NAGWAL', 'RAJPUT', 'BHANDARI', 'BAGHARIYA', 'SINGH', 'BESHEN', 'VAISHNAV', 'KHODI', 'SHEKHAWAT', 'MALI', 'KUMHA', 'RAVANA', 'KARADIYA', 'RAWAT', 'DADWAL', 'SONAR', 'KHARAL', 'RAUT', 'BRIJWASI', 'DARAGA', 'RAJAWAN', 'KHANDERA', 'JAISWAL', 'CHAUHAN', 'LEVA', 'RATHORE', 'BHAMTA', 'PARMAR', 'PAWAR', 'BHATI', 'CHANDAWAT', 'CHANDRA', 'BALKHARYA', 'KHADHAKA', 'LODHI', 'BADGUJAK', 'THAKUR', 'MANSURI', 'BISEN', 'BAGHEL', 'SENGAR', 'RAJAWAT', 'JATAV', 'MEENA', 'JOSHI', 'RANAWAT', 'PANWAR', 'PANWARI', 'PANDEY', 'BANGAR', 'RAHTORE', 'SISODIA', 'SOMWANSH', 'KHARWAL', 'SAHU', 'UJJAINI', 'TAYAL', 'BARWAL', 'RANA', 'TANWAR', 'DEVRA', 'JADAV', 'PALIHAR', 'DIKHIT', 'VAGHELA', 'DHALARIA', 'GAUR', 'PATIYAL', 'JHIWAR', 'BALHARIYA', 'RATHVI', 'BISHT', 'CHOUDHARY', 'VERMA', 'SHAHI', 'BHRIGUVANSHI', 'RAWAL', 'JARAULIYA', 'DEVAL', 'BHOLI', 'MAHAJAN']",mf_shadi_jeevansathi
SAINI (Hindu),"['SAKE', 'MALI', 'SAINI', 'SHAKYA']",mf_shadi_jeevansathi
SASUI (Hindu),['SASUI'],mf
SHEIKH (Hindu),"['ABBASI', 'GOLLA', 'RAIGAR', 'SETTIBALIJA', 'BOYA', 'YALAMA', 'CHOUDHARY', 'SUDKULA', 'ANKE', 'SURYABALIJA', 'DHOBI', 'NEEKU', 'TELAGA', 'MANSURI']",mf
SUDI (Hindu),"['KESARWANI', 'SINDURIYA- BANIA', 'RONIYAR', 'ADRAKHI', 'MAHURI-VAISHYA', 'SHAH', 'AGRAHARI-VAISHYA', 'SINDURIYA-BANIA', 'HALWAI', 'MODI', 'AVADH-BANIA', 'PATWA', 'SAHU', 'THATHERA', 'PANSARI', 'AWADH-BANIA', 'SUDHI', 'KASERA', 'SUDI']",gov
SUNNI (Hindu),['SAMRATH'],mf_shadi_jeevansathi
TARKHAN (Hindu),"['VISHWAKARMA', 'TARKHAN', 'RAMGARHI', 'BADHAI', 'DHIMAN']",mf
TELI (Hindu),"['DOBAILE', 'HIRONDHI', 'ROGANGAR', 'HANSI', 'SAMANI', 'KUBARA', 'TURI', 'EKBAILE', 'TELI', 'BALADIA', 'TELI RATHOD', 'KARENJEKA', 'SHAH', 'GOUDA', 'GANIGA', 'NAYATA', 'TALAKAR', 'PRASAD', 'VERMA', 'TELI NAYATA', 'GUPTA', 'RATHOR', 'TELI RATHORE', 'SONKANTHARI', 'SAHOO', 'YADAV', 'SAHUKAR', 'KALU', 'ABHI', 'TELI-MALIK', 'KOSARE', 'BAWNE', 'MODI', 'TELI SAHU', 'TULATIA', 'SHARMA', 'JAINKALA R', 'SAHU', 'RATHORE', 'SHAHU', 'GIRIPUNJE', 'BOGADA', 'KUBERA', 'KARNJKAR', 'TELI-LINGAYAT', 'TELLI', 'KUSHWAHA', 'CHANDRA', 'KANKAR', 'HALDIA', 'BAHALDIA', 'BAILE']",mf_shadi_jeevansathi
THATARI (Hindu),"['THATARI', 'KANSARI']",mf
VADDI (Hindu),"['SAMPANGI', 'PALLA', 'VADDI', 'VALMIKI', 'NAIKA', 'KUDARI', 'GUNJE', 'CHEEMALA', 'MANJARI']",mf
