Unmatched_Caste
96K KOKANASTHA
AGRAHARI
ANGLICAN
BALIJA NAIDU
BAPTIST
BORN AGAIN
DAVADNYA
GOWD SARASWAT
KANADA MADHVA
KANYAKUBJA
KOKANASTHA
MAHARASHTRIAN
SARYUPARIN
BYAHUT KALWA
CHANDRASENIYA(CKP)
CLEAN SHAVEN
EVANGELICAL
GURSIKH
VELUTHEDATH
KASHMIRI PANDIT
KERALA MALAYLEE NAMBOODIRI
KESADHARI
KONGU VELLALA GOUNDER
KUMAONI
KURUHINA SHETTY
MARTHOMITE
MATHURVAISHYA
MEDATWAL
PATEL DESAI
PATEL KADVA
PATEL LEVA
RAMQHARIA
SAIVA PILLAI
SCHEDULED CASTE
TAMIL YADAVA
TIBETIAN
VANNIYAKULLAK
