Caste,is_caste,type,caste_name,remarks,is_muslim,location
fisherman,False,,,,,
awedhiya,False,sub_caste,Kurmi,,,
banjari mathura,False,sub_caste,Banjara,,,
bhurtiya bhutiya,False,sub_caste,Ahir (yadav),,,
chunkar chungar,False,sub_caste,rajgir,,,
chandra nahu,False,sub_caste,Kurmi,,,
das,False,,,,,
gadoley,False,sub_caste,Jethwa,,,
gayari dhariya,False,,,,,
garpagari,False,sub_caste,Naths or Jogis,,,
gori,False,sub_caste,Mallah,,,
jhareka,False,sub_tribe,Gond,,,
kolibhuti,False,sub_caste,Banjara,,,
koilabhuta,False,,,,,
lohpeta,False,sub_caste,Ghumantu,,,
lohpita,False,sub_caste,Ghumantu,,,
mudaaha,False,sub_caste,Sagarvanshi or Old,,,
patkar,False,sub_caste,Koli,,,
surjyaramnami,False,,,,,
vasudev basudeva,False,sub_caste,Yadav,,,
vade maria,False,sub_caste,gond,,,
bhubhalia,False,sub_caste,Lohar,,,
dhunnewala,False,,,,,
southia,False,sub_caste,Saliya or saliyar,,,
renders,False,,,,,
tinsmith,False,sub_caste,Lohar,,,
anvil brahman,False,sub_caste,Brahmin,,,
bakshi panch,False,sub_caste,Bakshi,,,
baphan,False,sub_caste,Brahmin,,,
barwashia,False,sub_caste,Valmiki,,,
bavaji,False,sub_caste,Bairagi Brahmin,,,
bawaji,False,sub_caste,Bairagi Brahmin,,,
bawa,False,sub_caste,Sikh jatt,,,
bhajir,False,,,,,
bhakta,False,,,,,
bhanushail,False,sub_caste,Vaishya,,,
bharatbhara,False,,,,,
channayya,False,sub_caste,Adi Dravida,,,
dhegu megu,False,sub_caste,Mahar,,,
gola,False,sub_caste,Yadav,,,
gujarati christian,False,,,,,
jain,False,,,,,
kathlik,False,,,,,
lakha,False,sub_caste,Bharvad,,,
ochra brahman,False,sub_caste,Brahmin,,,
nodi,False,sub_caste,Bakshi panch ,,,
aswini,False,sub_caste,Brahmin,,,
badasuda,False,sub_caste,Khandayat,,,
bangali,False,,,,,
benayat,False,sub_caste,Chasa,,,
bermia goudus,False,sub_caste,Gouda,,,
bhajemali,False,,,,,
bhanja puran,False,sub_caste,Puran,,,
bhatera,False,sub_caste,Brahmin,,,
bindhania,False,sub_caste,Badhai,,,
doddu kamariya,False,sub_caste,Kamariya,,,
ghantarghada,False,sub_caste,Ghntara,,,
ghantora,False,sub_caste,Gaud,,,
gokha,False,sub_caste,Kaibarta,,,
goudia,False,sub_caste,Golla,,,
goudia patara,False,sub_caste,Patara,,,
jodia,False,sub_caste,"Rajput, Thakur",,,
jyotska,False,sub_caste,Matimansa,,,
kalandi baishanaba,False,sub_caste,Kandara,,,
kapala elaga,False,sub_caste,Kapu,,,
kappula elama,False,sub_caste,Kapu,,,
khajuria,False,sub_caste,Siyal,,,
khatti-khatti,False,sub_caste,Khati,,,
korchia malis,False,sub_caste,Mali,,,
nihar,False,sub_caste,Kshatriyas,,,
parenga,False,sub_caste,Gadaba,,,
sahara,False,sub_caste,Soarain,,,
segidi,False,sub_caste,Goud,,,
sholakhandia,False,sub_caste,Gauda,,,
srisayan,False,sub_caste,ganga vamshi Kshatriyas,,,
sinduria,False,sub_caste,Bania,,,
tiruvalluvar,False,sub_caste,Valluvar,,,
chattadi,False,sub_caste,Satani,,,
gavaralu,False,sub_caste,Balija,,,
porkollar,False,sub_caste,Kammalar,,,
pronopakari,False,sub_caste,Maruthuvar,,,
choudhary,False,sub_caste,Jat,,,
