Caste,is_caste,type,caste_name,remarks,is_muslim,location
Ezhavathi,True,,,,,Kerala
Jacobite,True,,,christian,,Kerala
Mappilla,True,,,muslim,,Kerala
Mapthan,True,,,,,
Marthoma,True,,,christian,,Kerala
Noprthaona,True,,,,,India
Orthodox,True,,,christian,,India
Palaya,True,,,,,"Tamil Nadu, Kerala"
Pandithattan,True,,,,,
Pangaram,True,,,,,"Tamil Nadu, Kerala"
Pentacostal,True,,,,,Kerala
Perkunna,True,,,,,Haryana
Piniyar,True,,,,,"Kerala, Karnataka, Tamil Nadu"
Poojari,True,,,,,"Karnataka, Kerala"
Rakithar,True,,,,,
Ranther,True,,,,,
Saraswat Non-Brahman,True,,,,,"Goa, Kerala"
Routher,True,,,muslim,,"Tamil Nadu, Kerala"
Syrian,True,,,christian,,Kerala
tholkolan,True,,,,,
vanican,True,,,,,
varduka,True,,,,,
muthunarayana,True,,,,,
vilkurup,True,,,,,
vishavan,True,,,,,
yrakither,True,,,,,
bharud,True,,,,,
bhujwa,True,,,,,
kolwar,True,,,,,
dosandhi,True,,,,,
maithare,True,,,,,
kud,True,,,,,
makrani,True,,,muslim,,
mankar,True,,,,,
khati,True,,,,,
niyargar-multani niyaria,True,,,muslim,,
pathari saroti,True,,,,,
savarkar,True,,,,,
takankar,True,,,,,
tamar,True,,,,,
audheliya,True,,,,,
balasantu,True,,,,,
anamuk,True,,,,,
van,True,,,,,
bharadi balasantoshi,True,,,,,
bhavaiya targala,True,,,,,
bhope,True,,,,,
buddha,True,,,,,
chandalgada,True,,,,,
dagadphodu,True,,,,,
fakir bhandarwala,True,,,muslim,,
futgudi,True,,,,,
gochaki,True,,,,,
garpagri,True,,,,,
gopal,True,,,,,
govind,True,,,,,
hanber,True,,,,,
helve hilav,True,,,,,
kathar,True,,,,,
kasikapadi,True,,,,,
katabu,True,,,,,
khatawali,True,,,,,
kongadi,True,,,,,
laddaf,True,,,muslim,,
kurhinshetty,True,,,,,
kunkuwale,True,,,,,
lari,True,,,muslim,,
mairal dangat,True,,,,,
mulane,True,,,,,
mavi,True,,,,,
manne,True,,,,,
munnarwad,True,,,,,
muslim gawli,True,,,muslim,,
navliga,True,,,,,
nethura,True,,,,,
nirshikari,True,,,,,
otkari,True,,,,,
paik,True,,,,,
phudgi,True,,,,,
pradhan,True,,,,,
rachevar,True,,,,,
satsale,True,,,,,
shikaghar,True,,,,,
wadhi,True,,,,,
wami,True,,,,,
kouriya,True,,,muslim,,
alial,True,,,,,
ashwini patara,True,,,,,
gandhila,True,caste,,,,
burar or berar,True,tribe,,,,
dhangri or siggi,True,caste,,,,
marija or marecha,True,caste,Mehra or Mahar,,,
pherera,True,caste,,,,
rechband,True,caste,,,,
shorgir,True,caste,,,,
singhikant,True,caste,,,,
singhikar,True,caste,,,,
singhiwala,True,caste,,,,
singiwala,True,caste,,,,
sirkiband,True,caste,,,,
koskati,True,caste,,,,
audhelia,True,caste,,,,
rajgir,True,caste,,,,
badhbhuja,True,caste,,,,
bargunda,True,caste,,,,
bhanumati,True,caste,,,,
biar,True,caste,,,,
birhul,True,tribe,Mundani,,,
brhaman,True,caste,Brahmin,,,
gandha,True,caste,,,,
harijan,True,caste,,,,
karara,True,caste,,,,
koshtha,True,caste,,,,
kutwar kotwal,True,caste,,,,
mangia,True,caste,,,,
niyargar-multani,True,caste,,,,
quasab,True,caste,,,,
sabiriya,True,caste,,,,
salewar jendra,True,caste,,,,
sindhi,True,tribe,,,,
takankar,True,tribe,,,,
arakvanshiya,True,caste,,,,
fakir,True,caste,,,,
gharrami,True,caste,,,,
kachhandha,True,caste,,,,
khatgune,True,caste,,,,
naribut,True,caste,,,,
pakhiwara,True,caste,,,,
blacksmith,True,caste,,,,
vaishnav,True,caste,,,,
aaribharatbhara,True,caste,,,,
advichincher,True,tribe,,,,
bajaniya,True,tribe,,,,
atit bayaji,True,caste,,,,
bakshi,True,caste,,,,
bamcha,True,tribe,,,,
bajir,True,caste,,,,
bauliya,True,tribe,,,,
chake,True,caste,,,,
choudhari,True,caste,,,,
dangashia,True,caste,,,,
dasnami vawa,True,caste,,,,
dhoka,True,caste,,,,
galiara,True,caste,,,,
garmatang,True,tribe,,,,
goai,True,caste,,,,
halleer,True,caste,,,,
haralayya,True,caste,,,,
hingora,True,tribe,,,,
jamphoda,True,caste,,,,
kakkayya,True,caste,,,,
kambadia bhagat,True,caste,,,,
kangasia,True,caste,,,,
kankayya,True,caste,,,,
kever,True,caste,,,,
khalifa,True,caste,,,,
khodi,True,caste,,,,
lingader,True,caste,,,,
maisurba,True,caste,,,,
maiya darbar,True,caste,,,,
malwana,True,caste,,,,
malik,True,caste,,,,
mansur,True,caste,,,,
mavadi,True,caste,,,,
me or meta,True,caste,,,,
mayka,True,caste,,,,
mistri,True,caste,,,,
natiar,True,caste,,,,
nepal,True,caste,,,,
olgana,True,caste,,,,
pandya,True,caste,,,,
ashtralohi,True,,,,,
aswina tanti,True,,,,,
baghuti,True,,,,,
baistamba,True,,,,,
bolodhia,True,,,,,
binedhanies,True,,,,,
boodo magatha,True,,,,,
buruashankar,True,,,,,
chandhai maru,True,,,,,
danbasi,True,,,,,
dhotada,True,,,,,
dudu kamaro,True,,,,,
duma,True,,,,,
ghusuria,True,,,,,
goti,True,,,,,
ghukha,True,,,,,
jaintrapans,True,,,,,
kachara,True,,,,,
kalanji,True,,,,,
kapudia,True,,,,,
kela,True,,,,,
khadala,True,,,,,
khandnals,True,,,,,
khetriya,True,,,,,
khodala,True,,,,,
kundamatia,True,,,,,
magadhi goral,True,,,,,
luhura,True,,,,,
mundapotta,True,,,,,
nuhura,True,,,,,
or guria,True,,,,,
or meghia,True,,,,,
nuhuraj,True,,,,,
or metta,True,,,,,
paigarapu,True,,,,,
patsalia,True,,,,,
pengajodia,True,,,,,
pengua,True,,,,,
poona magatha,True,,,,,
routia,True,,,,,
rangini hansi,True,,,,,
sagarpasha,True,,,,,
sagbaria,True,,,,,
sana magatha,True,,,,,
sauntia,True,,,,,
tivoro,True,,,,,
vellama,True,,,,,
kavuthiya,True,,,,,
gonga,True,,,,,
kehsavrajan,True,,,,,
kangohra,True,,,,,
kucha band,True,,,,,
raisikh,True,,,,,
bhoru,True,,,,,
dhali,True,,,muslim,,
garancha,True,,,,,
ghachha,True,,,,,
ka yasth,True,,,,,
jambuli,True,,,,,
parjiyat,True,,,,,
sama,True,,,,,
sanghar,True,,,,,
sanghi,True,,,,,
shemalia,True,,,,,
shoda,True,,,,,
srimani,True,,,,,
taldada,True,,,,,
siddiqui,True,,,muslim,,
tirbanda,True,,,,,
vanad,True,,,,,
vaisnav,True,,,,,
acharya,True,,,,,
bannsa,True,,,,,
bhedkut,True,,,,,
dhosali dosali,True,,,,,
verma,True,,,,,
ard pop,True,,,,,
batehda,True,,,,,
choharka,True,,,,,
karoack,True,,,,,
lahaula,True,,,,,
siryare,True,,,,,
sarehde,True,,,,,
dard shin,True,,,,,
dambali faqir,True,sub_caste,faqir,muslim,,
c,True,,,muslim,,
sheer-gojries,True,,,,,
shaksaz,True,,,muslim,,
ashur,True,,,,,
edris,True,,,,,
gandarbh,True,,,,,
gandrap,True,,,,,
mandal,True,,,,,
mran,True,,,,,
rawani,True,,,,,
sudhi,True,,,,,
aganarw,True,,,,,
agnivanni,True,,,,,
bathada,True,,,,,
belavva,True,,,,,
bhardi bhargi,True,,,,,
chakrasali,True,,,,,
chamboti,True,,,,,
danatar,True,,,,,
dang-dasar,True,,,,,
darvesu,True,,,,,
ellamalwar,True,,,,,
dwar,True,,,,,
gangemata,True,,,,,
ganti chores,True,,,,,
ghisade,True,,,,,
godali,True,,,,,
gonday,True,,,,,
gowrimatha,True,,,,,
gurjar,True,,,,,
helawar,True,,,,,
hindukrubi,True,,,,,
hindulingayat,True,,,,,
sadaru,True,,,,,
holer,True,,,,,
igola,True,,,,,
janwakar,True,,,,,
kabbili,True,,,,,
kabbou,True,,,,,
kadanpatadar,True,,,,,
