Caste
96K KOKANASTHA
AGAMUDAYAAR
AGRAHARI
ANGLICAN
ARYA VYSYA
BALIJA NAIDU
BANGLA
BAPTIST
BORN AGAIN
ANAVIL
DAVADNYA
GARHWALI
GOWD SARASWAT
GUJARATI
KANADA MADHVA
KANYAKUBJA
KOKANASTHA
BRAHMIN 
KUMOANI
MAHARASHTRIAN
MAITHIL
SARYUPARIN
SMARTHA
BRAMHAN
BYAHUT KALWA
CMS
CSI
KANANAYA
LATIN
MALANKARA
CHANDRASENIYA(CKP)
CLEAN SHAVEN
COORGI
DARAJI
EVANGELICAL
EZHUTHASSAN
GOLD SMITH
GURSIKH
VELUTHEDATH
IYENGAR
SWETAMBER
KASHMIRI PANDIT
KERALA MALAYLEE NAMBOODIRI
KESADHARI
KONGU VELLALA GOUNDER
KUMAONI
KURUHINA SHETTY
MALAYALAM
MARTHOMITE
MARWARI
MATHURVAISHYA
MEDATWAL
ARCOT
SENGUNTHA
MUKULATHUR
MUTHARAIYAR
NAMBIAR
PATEL DESAI
PATEL KADVA
PATEL LEVA
PENTACOST
PUNJABI
RAGHUWANSHI
RAMQHARIA
SAIVA PILLAI
SCHEDULED CASTE
SHIA
SOWRASHTRA
SOZHIYA
TAMIL
TAMIL YADAVA
TELGU
THAI
TIBETIAN
VANNIYAKULLAK
SHATRIYA
VANNIYAR
VARIER
VEERASHAIVA
VELLAMA
VILAKKITHALA
