Caste,subcastes,source
ARAY MALA,"['ARWA MALA', 'ARAY MALA']",gov
ARAYAR,"['DEVARA', 'ARAYAN', 'ARAYAR', 'NULAYAR']",gov
ARCHAGAR,['ARCHAGAR'],mf
ARCHAKARI VELLALA,['ARCHAKARI VELLALA'],gov
ARCHAKULU,['ARCHAKULU'],mf
AREKATIKA,"['KATIKA', 'AREKATIKA']",gov
AREMAHRATI,['AREMAHRATI'],gov
ARORA,"['CHAWALA', 'SOOD', 'NAGPAL', 'MINOCHA', 'GULATI', 'BATRA', 'CHHABRA', 'KAPOOR', 'ARORA', 'KATHURIYA', 'ANAND', 'PANGHA L', 'THAKRAL', 'RAI', 'KAKAR', 'CHOPRA', 'KHATRI', 'CHUGH']",mf_shadi_jeevansathi
ARUA,['ARUA'],gov
ARUNTHATHIYAR,"['ARUNTHATHI', 'ARUNTHATHIYAR', 'AMMA', 'ARUNDHATIYA', 'CHAKKILIYAN', 'SAKKELIAR', 'ARUNDUDHI', 'PADAIYACHI']",jeevansathi
ARYA,['ARYA'],gov
ARYA MALA,"['ARWA MALA', 'ARYA MALA']",gov
ARYAKSHATRIYA,"['ARYAKASHTRIYA', 'CHITTARI', 'NAKHAS', 'GINIYAR', 'CHITRAKARA', 'ARYAKSHATRIYA']",gov
ARYAVATHI,['ARYAVATHI'],gov
ARYAVYSYA,['ARYAVYSYA'],mf
ASADULU,['ASADULU'],mf
ASARI,"['GOLDSMITH', 'PATHAR', 'ASARI', 'ASARA', 'KOUNDA', 'KAMALAR', 'THACHAASARI', 'PADAIYACHI']",mf
ASHTRALOHI,"['ASHTRALOHI', 'ASHTALOHI KARMAKAR KAMILA SUNARI', 'SUNAREE VISWA BRAHMAN SWARNAKAR', 'SWARANSILPI']",gov
ASUR,"['ASUR', 'ASHUR']",gov
ATAGARA,['ATAGARA'],gov
ATARI,"['ATHARI', 'ATARI']",gov
ATIRASA,['ATIRASA'],gov
ATISHBAZ,"['ATISHBAZ', 'DARUGAR']",gov
ATIT BAYAJI,"['BAKSHI PANCH', 'ATIT BAYAJI']",mf
ATTAR,['ATTAR'],gov
ATTUR,"['ATTUR', 'KILNAD', 'KORAVAR']",gov
AUDHELIA,['AUDHELIA'],gov
AUDHIYA,"['AUDHIYA', 'AUDHELIYA']",gov
AYEERAVAISIAR,['AYEERAVAISIAR'],gov
AYYANAVAR,['AYYANAVAR'],gov
AYYAR,"['GURKAL', 'KURUKAL', 'DASINGAR', 'AYYAR', 'TENKALAI', 'PRAGASARANAM', 'IYYAR']",mf
AYYARAKA,['AYYARAKA'],jeevansathi
BAARAJU,['BAARAJU'],mf
BADAGAR,['BADAGAR'],gov
BADAIK,['BADAIK'],gov
BADASUDA,['BADASUDA'],gov
BADHAI,"['BADHRIA', 'KHARADI', 'KHATI', 'DHEEMAN', 'MAGHIYA', 'BADAI', 'BADHAI', 'KHARADA', 'VISHWAKARMA', 'HARIJAN', 'TARKHAN', 'JANGRA-BRAHMIN', 'NISHAD', 'PANWARI', 'RAMGARHIA-SIKH', 'PANCHAL', 'SUTHAR', 'RAMGARHIA', 'CHOURSIA', 'BADHIRA', 'MISTRY', 'SHARMA', 'JANGADA', 'VISWAKARMA', 'TARKHAN.', 'BADHEI', 'BINDHANIA', 'CHAURASIA', 'BARHAI', 'JANGID', 'SUTRADHAR']",mf_jeevansathi
BADHBHUJA,"['BHUNJWA', 'DHURI', 'DHOORI', 'BHURJI', 'BADHBHUJA']",gov
BADHI,"['BADHI', 'NAGALU']",gov
BADI,"['DAMAI', 'SARKI', 'GAINAY', 'KAMI', 'BADDON', 'BADI']",gov
BADIA,['BADIA'],gov
BADIGAR,"['VISHWAKARMA', 'BADIGAR']",mf
BADWA,"['BHAT', 'BADWA', 'RAO JACHAK', 'JAGA']",gov
BAFAN,['BAFAN'],gov
BAGARIA,"['BAGRIA', 'BAGRI', 'BAGDI', 'BAGARIA']",gov
BAGATA,['BAGATA'],gov
BAGDI,"['BAGTI', 'MACHUA', 'NODA', 'DARATIA', 'PHULAKATAMALI', 'BAGDI', 'SUNDI']",mf_jeevansathi
BAGGARU,['BAGGARU'],gov
BAGHBAN,"['BAGBAN', 'BAGHBAN', 'BAGWAN']",gov
BAGHETI,"['BAGHETI', 'BAGHUTI']",gov
BAHACH HANJIE & SHIKARA WALLAS,['BAHACH HANJIE & SHIKARA WALLAS'],gov
BAHNA,"['BAHNA', 'BAHANA']",gov
BAHTI,['BAHTI'],gov
BAHURUPI,['BAHURUPI'],gov
BAIDYA,['BAIDYA'],jeevansathi
BAIGA,['BAIGA'],gov
BAIJARA,['BAIJARA'],gov
BAILAPATAR,"['BAILAPATAR', 'BILAPATAR', 'BAILPATAR']",gov
BAIPARI,['BAIPARI'],gov
BAIRAGI,"['GILL', 'BAREGI', 'BAVANI', 'MAHANT', 'BAIRA', 'BAHARI', 'BAVA', 'SWAMI', 'BAVAJI', 'BYARAGI', 'VAISHNO', 'BAIRAGI', 'POWAR', 'RATHORE', 'BARAGI']",mf
BAIRWA,"['BERWA', 'BAIRWA']",jeevansathi
BAISHNAB,"['BAISHNAB', 'BAISNAB']",jeevansathi
BAISHYA KAPALI,['BAISHYA KAPALI'],jeevansathi
BAISTAMBA,"['UPADHYAY', 'BAISTAMBA']",mf
BAJAKAS,['BAJAKAS'],mf
BAJANIA,"['BAJENIA', 'BAJANIA', 'BAJANIYA']",gov
BAJANTRI,"['KSHWRIKA', 'BAJANTRI']",mf_jeevansathi
BAJIGAR,"['BAJGAR', 'BAJIGAR', 'BAJIKAR']",gov
BAJIR,['BAJIR'],mf
BAKAD,"['BAKAD', 'BANT']",gov
BAKADRA,['BAKADRA'],gov
BAKARWAL,['BAKARWAL'],gov
BAKHO,['BAKHO'],gov
