Caste,subcastes
AREKATIKA,"['KATIKA', 'AREKATIKA']"
AREMAHRATI,['AREMAHRATI']
ARORA,"['CHAWALA', 'SOOD', 'NAGPAL', 'MINOCHA', 'GULATI', 'BATRA', 'CHHABRA', 'KAPOOR', 'ARORA', 'KATHURIYA', 'ANAND', 'PANGHA L', 'THAKRAL', 'RAI', 'KAKAR', 'CHOPRA', 'KHATRI', 'CHUGH']"
ARUA,['ARUA']
ARUNTHATHIYAR,"['ARUNTHATHI', 'ARUNTHATHIYAR', 'AMMA', 'ARUNDHATIYA', 'CHAKKILIYAN', 'SAKKELIAR', 'ARUNDUDHI', 'PADAIYACHI']"
ARYA,['ARYA']
ARYA MALA,"['ARWA MALA', 'ARYA MALA']"
ARYAKSHATRIYA,"['ARYAKASHTRIYA', 'CHITTARI', 'NAKHAS', 'GINIYAR', 'CHITRAKARA', 'ARYAKSHATRIYA']"
ARYAVATHI,['ARYAVATHI']
ARYAVYSYA,['ARYAVYSYA']
ASADULU,['ASADULU']
ASARI,"['GOLDSMITH', 'PATHAR', 'ASARI', 'ASARA', 'KOUNDA', 'KAMALAR', 'THACHAASARI', 'PADAIYACHI']"
ASHTRALOHI,"['ASHTRALOHI', 'ASHTALOHI KARMAKAR KAMILA SUNARI', 'SUNAREE VISWA BRAHMAN SWARNAKAR', 'SWARANSILPI']"
ASUR,"['ASUR', 'ASHUR']"
ATAGARA,['ATAGARA']
ATARI,"['ATHARI', 'ATARI']"
ATIRASA,['ATIRASA']
ATISHBAZ,"['ATISHBAZ', 'DARUGAR']"
ATIT BAYAJI,"['BAKSHI PANCH', 'ATIT BAYAJI']"
ATTAR,['ATTAR']
ATTUR,"['ATTUR', 'KILNAD', 'KORAVAR']"
AUDHELIA,['AUDHELIA']
AUDHIYA,"['AUDHIYA', 'AUDHELIYA']"
AYEERAVAISIAR,['AYEERAVAISIAR']
AYYANAVAR,['AYYANAVAR']
AYYAR,"['GURKAL', 'KURUKAL', 'DASINGAR', 'AYYAR', 'TENKALAI', 'PRAGASARANAM', 'IYYAR']"
AYYARAKA,['AYYARAKA']
BAARAJU,['BAARAJU']
BADAGAR,['BADAGAR']
BADAIK,['BADAIK']
BADASUDA,['BADASUDA']
BADHAI,"['BADHRIA', 'KHARADI', 'KHATI', 'DHEEMAN', 'MAGHIYA', 'BADAI', 'BADHAI', 'KHARADA', 'VISHWAKARMA', 'HARIJAN', 'TARKHAN', 'JANGRA-BRAHMIN', 'NISHAD', 'PANWARI', 'RAMGARHIA-SIKH', 'PANCHAL', 'SUTHAR', 'RAMGARHIA', 'CHOURSIA', 'BADHIRA', 'MISTRY', 'SHARMA', 'JANGADA', 'VISWAKARMA', 'TARKHAN.', 'BADHEI', 'BINDHANIA', 'CHAURASIA', 'BARHAI', 'JANGID', 'SUTRADHAR']"
BADHBHUJA,"['BHUNJWA', 'DHURI', 'DHOORI', 'BHURJI', 'BADHBHUJA']"
BADHI,"['BADHI', 'NAGALU']"
BADI,"['DAMAI', 'SARKI', 'GAINAY', 'KAMI', 'BADDON', 'BADI']"
BADIA,['BADIA']
BADIGAR,"['VISHWAKARMA', 'BADIGAR']"
BADWA,"['BHAT', 'BADWA', 'RAO JACHAK', 'JAGA']"
BAFAN,['BAFAN']
BAGARIA,"['BAGRIA', 'BAGRI', 'BAGDI', 'BAGARIA']"
BAGATA,['BAGATA']
BAGDI,"['BAGTI', 'MACHUA', 'NODA', 'DARATIA', 'PHULAKATAMALI', 'BAGDI', 'SUNDI']"
BAGGARU,['BAGGARU']
BAGHBAN,"['BAGBAN', 'BAGHBAN', 'BAGWAN']"
BAGHETI,"['BAGHETI', 'BAGHUTI']"
BAHACH HANJIE & SHIKARA WALLAS,['BAHACH HANJIE & SHIKARA WALLAS']
BAHNA,"['BAHNA', 'BAHANA']"
BAHTI,['BAHTI']
BAHURUPI,['BAHURUPI']
BAIDYA,['BAIDYA']
BAIGA,['BAIGA']
BAIJARA,['BAIJARA']
BAILAPATAR,"['BAILAPATAR', 'BILAPATAR', 'BAILPATAR']"
BAIPARI,['BAIPARI']
BAIRAGI,"['GILL', 'BAREGI', 'BAVANI', 'MAHANT', 'BAIRA', 'BAHARI', 'BAVA', 'SWAMI', 'BAVAJI', 'BYARAGI', 'VAISHNO', 'BAIRAGI', 'POWAR', 'RATHORE', 'BARAGI']"
BAIRWA,"['BERWA', 'BAIRWA']"
BAISHNAB,"['BAISHNAB', 'BAISNAB']"
BAISHYA KAPALI,['BAISHYA KAPALI']
BAISTAMBA,"['UPADHYAY', 'BAISTAMBA']"
BAJAKAS,['BAJAKAS']
BAJANIA,"['BAJENIA', 'BAJANIA', 'BAJANIYA']"
BAJANTRI,"['KSHWRIKA', 'BAJANTRI']"
BAJIGAR,"['BAJGAR', 'BAJIGAR', 'BAJIKAR']"
BAJIR,['BAJIR']
BAKAD,"['BAKAD', 'BANT']"
BAKADRA,['BAKADRA']
BAKARWAL,['BAKARWAL']
BAKHO,['BAKHO']
BAKSHI,"['NODI', 'BAKSHI', 'VANAND', 'BAROT', 'BAKSHI PANCH', 'SAMEJA', 'BAVAJI']"
BAKUDA,['BAKUDA']
BALAGAI,['BALAGAI']
BALAGIGA,"['BALAGIGA', 'SUNNAKAIL']"
BALAHI,"['BALAI', 'BALAHI']"
BALASANTHU,"['BALASANTHU', 'BAHURUPI', 'BALASANTHOSHI']"
BALIGAR,['BALIGAR']
BALIJA,"['MUNNAR', 'SETTY BALIJA', 'BALAJIGA', 'TELUGA', 'BALESHETTARU', 'SETTIBALIJA', 'CETTIBALIJA', 'BANDARI', 'KUDARI', 'MUTRASI', 'BALIJA', 'DUDEKULA', 'KALAVANTHI TELAGA BALIJA', 'PERIKI', 'CHEEMALA', 'NAIDU', 'SETTI', 'SETTIVARI', 'BHOGAM', 'POKANTI', 'NAIKA', 'BANAJIGA', 'GAJULA BALIJA', 'BALEGARA', 'MANNUR', 'BALE BALAJIGA', 'TELUGA BANAJIGA', 'DASA BANAJIGA', 'CHINNKAPU', 'GAZULA', 'TELAGA', 'JANAPPAN', 'PALAGIRI', 'KASBAN', 'MATRACHA', 'LINGAYAT BALEGALA', 'SETTY BANAJIGA']"
BALMIKI,"['BHANGI', 'RAMDASI', 'CHURA', 'SOBAT', 'SOHATA', 'BALMIKI', 'CHUHRE', 'CHUHRA']"
BALTI,['BALTI']
BAMAN,"['BAMAN', 'SAMRATH']"
BANCHADA,['BANCHADA']
BANDARA,"['BANDARA', 'BANDARAM', 'ANDI']"
BANDARI NAIK,"['BLACKSMITH', 'TINSMITH', 'BANDARI NAIK']"
BANDHARI,"['BANDHARI', 'BANDARI']"
BANDHELA,['BANDHELA']
BANDI,['BANDI']
BANGALI,"['HELA', 'BENGALI', 'CHASA', 'BANGALI']"
BANGI,"['KHAKROB', 'BANGI', 'BHANGI']"
BANGSHI,['BANGSHI']
BANIA,"['MAHESHWARI', 'VANIA', 'VAISNAV']"
BANIK,"['GANDHABANIK', 'DESASHRAM', 'BANIK']"
BANIYA,"['ASRATI', 'SINGLA', 'KANSAL', 'ORIYABANIYA', 'TUREHA', 'BANIYA', 'VARSHNEY', 'ORIYAMUNDA', 'SHAH', 'ARORA', 'CHOUDHARY', 'GUPTA', 'AGARAWAL', 'BARNAWAL', 'SINGHAL', 'YADAV', 'KHANDEL', 'GARG', 'JAISWAL', 'AGARWAL', 'KESARBANI', 'MODI', 'SUNARI', 'KESRI', 'MISTRY', 'GOYAL', 'KESHRWANI', 'SHARMA', 'BANSAL', 'SHAHU', 'SAHU', 'JINDAL', 'PADAIYACHI', 'RANA', 'AYODHABASI', 'JAIN', 'POWAR', 'GOEL', 'BANNIYAR', 'PALIWAL', 'MAHAJAN']"
BANJARA,"['SUGALI.', 'DHALIA', 'LAMAN BANJARA', 'DHURIYA', 'RANKI', 'MATHURA', 'MUKERI', 'LAMANI', 'DHALIA BANJARA', 'LABHANA', 'LAMBADE LAMBHANI CHARAN BANJARA LABHAN MATHURA LABHANI', 'BAMANIA BANJARA', 'SUKALI', 'RAVANA', 'LAMBARA', 'BALADIA', 'BANJARI', 'RANGREZ', 'BANJARI GOAR BANJARA LAMBADA', 'MAKRANI.', 'GORMATI', 'MATHURA LABHAN', 'MATHURA BANJARA KACHIKIWALE BANJARA LAMAN BANJARA LAMAN', 'MEKRANI', 'GAMETIA', 'LABHANA LABAN', 'NAVI BANJARA', 'NAYKADA', 'LAMNE', 'LAMAN', 'LAMBANI', 'RATHOR', 'LAMANI LABAN DHALI', 'LABANA', 'SUGALI', 'BANJARA', 'KUMAWAT', 'DHADI', 'LAMBADA', 'KHAN', 'LAMBADI', 'MAKRANI', 'LABAN', 'BANJARI MATHURA', 'LAMBARA LAMBHANI', 'RANKIA', 'MANSURI', 'JOGI BANJARA', 'LAMBANA', 'CHANDWAR', 'KACHIRIWALA BANJARA', 'VAISHNAV', 'BAMANIA BANJARA LAMAN', 'NAYKADA LAMBANA', 'MATHURA BANJARI', 'NAYAK', 'CHADAWA', 'DHARI SINGARI NAVI BANJARA']"
BANNA,['BANNA']
BANNSA,"['GARG', 'BANNSA']"
