Caste,subcastes
ARAIN,"['KUNJRA', 'RAYEE', 'ARAIN']"
ARAK,"['ARAKVANSHIYA', 'ARAK']"
ARAK,"['ARAKH', 'ARAKVANSHIYA']"
ARANDAN,['ARANDAN']
ARANDAN,['ARANEDAN']
ARAY MALA,"['ARAY MALA', 'ARWA MALA']"
ARAYAR,"['ARAYAN', 'DEVARA']"
ARAYAR,"['ARAYAR', 'ARAYAN', 'NULAYAR']"
ARCHAGAR,['ARCHAGAR']
ARCHAKARI VELLALA,['ARCHAKARI VELLALA']
ARCHAKULU,['ARCHAKULU']
ARD POP,"['POPO BRAHMAN', 'ARD POP']"
AREKATIKA,"['KATIKA', 'AREKATIKA']"
AREMAHRATI,['AREMAHRATI']
ARORA,"['ARORA', 'THAKRAL', 'PANGHA L', 'NAGPAL', 'GULATI', 'KHATRI', 'MINOCHA', 'BATRA', 'KAKAR', 'CHHABRA', 'SOOD', 'KAPOOR', 'RAI', 'CHAWALA', 'CHUGH', 'KATHURIYA', 'CHOPRA', 'ANAND']"
ARUA,['ARUA']
ARUNTHATHIYAR,['ARUNDHATIYA']
ARUNTHATHIYAR,"['SAKKELIAR', 'ARUNTHATHI', 'PADAIYACHI', 'ARUNDUDHI']"
ARUNTHATHIYAR,"['ARUNTHATHIYAR', 'CHAKKILIYAN', 'AMMA']"
ARYA MALA,['ARWA MALA']
ARYA,['ARYA']
ARYA MALA,['ARYA MALA']
ARYAKSHATRIYA,"['GINIYAR', 'ARYAKSHATRIYA', 'CHITTARI', 'CHITRAKARA', 'ARYAKASHTRIYA', 'NAKHAS']"
ARYAVATHI,['ARYAVATHI']
ARYAVYSYA,['ARYAVYSYA']
ASADULU,['ASADULU']
ASARI,['ASARA']
ASARI,"['KOUNDA', 'GOLDSMITH', 'THACHAASARI', 'KAMALAR', 'PATHAR', 'ASARI', 'PADAIYACHI']"
ASHTRALOHI,"['ASHTRALOHI', 'SWARANSILPI', 'ASHTALOHI KARMAKAR KAMILA SUNARI', 'SUNAREE VISWA BRAHMAN SWARNAKAR']"
ASUR,"['ASUR', 'ASHUR']"
ATAGARA,['ATAGARA']
ATARI,"['ATARI', 'ATHARI']"
ATIRASA,['ATIRASA']
ATISHBAZ,"['ATISHBAZ', 'DARUGAR']"
ATIT BAYAJI,"['ATIT BAYAJI', 'BAKSHI PANCH']"
ATTAR,['ATTAR']
ATTUR,"['KORAVAR', 'KILNAD', 'ATTUR']"
AUDHELIA,['AUDHELIA']
AUDHIYA,"['AUDHIYA', 'AUDHELIYA']"
AYEERAVAISIAR,['AYEERAVAISIAR']
AYYANAVAR,['AYYANAVAR']
AYYAR,"['IYYAR', 'DASINGAR', 'PRAGASARANAM', 'KURUKAL', 'GURKAL', 'AYYAR', 'TENKALAI']"
AYYARAKA,['AYYARAKA']
BAARAJU,['BAARAJU']
BADAGAR,['BADAGAR']
BADHAI,"['HARIJAN', 'BADAI', 'JANGADA']"
BADAIK,['BADAIK']
